"Time","Angelo South Meadow Air Temp Avg degC","Angelo South Meadow Relative Humidity Avg %","Blue Oak Ranch Air Temp Avg degC","Blue Oak Ranch Relative Humidity Avg %","Bodega Air Temp Avg degC","Bodega Relative Humidity Avg %","Hastings Air Temp Avg degC","Hastings Relative Humidity Avg %"
"2021-11-01 00:00:00",11.4,89.2,9.67,80.7,13.96,86.5,12.04,73.98
"2021-11-01 00:10:00",11.36,89.6,9.61,78.93,13.89,86.6,12.16,73.75
"2021-11-01 00:20:00",11.4,89.6,10.14,73.13,13.88,87,12.2,73
"2021-11-01 00:30:00",11.42,90,9.92,81.5,13.89,86.9,12.06,74.2
"2021-11-01 00:40:00",11.49,89.6,9.87,80.8,14.07,86.3,11.96,75.3
"2021-11-01 00:50:00",11.53,89.4,10.66,81.3,14.18,86.2,12.15,74.15
"2021-11-01 01:00:00",11.57,89,10.43,79.24,14.14,87.7,12.29,74.03
"2021-11-01 01:10:00",11.65,87.7,10.65,73.26,14.06,88.8,12.42,73.34
"2021-11-01 01:20:00",11.75,86.5,10.58,73.8,14.01,89.7,12.46,73.35
"2021-11-01 01:30:00",12.47,79.07,10.43,76.3,14.01,90.2,12.34,73.92
"2021-11-01 01:40:00",13.61,71.1,10.45,77.77,14,90.1,12.11,74.66
"2021-11-01 01:50:00",13.1,77.1,10.46,79.54,13.97,90.4,11.75,75.89
"2021-11-01 02:00:00",12.41,82,10.91,84.4,14.01,91.4,11.16,78.62
"2021-11-01 02:10:00",13.19,72.96,11.54,86.7,13.99,92.1,11.03,78.56
"2021-11-01 02:20:00",13.69,70.48,11.7,86.3,13.99,92.7,10.84,79.97
"2021-11-01 02:30:00",13.46,71.79,11.89,90.7,14.01,93.3,10.58,81
"2021-11-01 02:40:00",13.39,71.34,12.06,91.6,14.06,93.7,10.33,81.3
"2021-11-01 02:50:00",13.45,74.42,11.83,91.2,14.05,94.2,10.15,82.5
"2021-11-01 03:00:00",13.21,73.05,11.6,91.3,14,94.9,10.04,82.6
"2021-11-01 03:10:00",13.1,75.03,11.55,92,13.98,95.5,10.05,83
"2021-11-01 03:20:00",12.59,82.9,11.58,92.7,13.99,95.9,10.25,81.9
"2021-11-01 03:30:00",11.95,87.6,11.67,93.7,14.06,96.2,10.33,81.8
"2021-11-01 03:40:00",11.83,88.3,11.6,94.9,14.12,96.3,10.38,81.5
