"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorAC_002",15.8557884485961
"modmat.donorrecipientfit:DonorAC_007",16.4222502439646
"modmat.donorrecipientfit:DonorAC_008",14.9898164587909
"modmat.donorrecipientfit:DonorAC_015",17.3764520009912
"modmat.donorrecipientfit:DonorAC_039",14.2726445029733
"modmat.donorrecipientfit:DonorAC_045",14.1061446449815
"modmat.donorrecipientfit:DonorAC_047",14.0546213362244
"modmat.donorrecipientfit:DonorAC_052",15.1866189825189
"modmat.donorrecipientfit:DonorAC_054",15.2770246468484
"modmat.donorrecipientfit:DonorAC_061",15.140762227782
"modmat.donorrecipientfit:DonorAC_064",14.7310715500098
"modmat.donorrecipientfit:DonorAC_068",14.6548215370066
"modmat.donorrecipientfit:DonorAC_071",14.9835871176953
"modmat.donorrecipientfit:DonorAC_089",14.6218680149217
"modmat.donorrecipientfit:DonorAC_091",14.988275521404
"modmat.donorrecipientfit:DonorAC_094",15.9917190716172
"modmat.donorrecipientfit:DonorAC_096",14.5330588439241
"modmat.donorrecipientfit:DonorAC_097",15.7051520645093
"modmat.donorrecipientfit:DonorAC_102",14.2081393412355
"modmat.donorrecipientfit:DonorAC_103",14.2509615045437
"modmat.donorrecipientfit:DonorAC_107",14.7969271084851
"modmat.donorrecipientfit:DonorAC_124",14.4008012511844
"modmat.donorrecipientfit:DonorAC_125",14.416480698799
"modmat.donorrecipientfit:DonorAC_150",15.2570389796465
"modmat.donorrecipientfit:DonorAC_156",14.240438415592
"modmat.donorrecipientfit:DonorAC_159",14.3596547162091
"modmat.donorrecipientfit:DonorAC_160",14.4218652220539
"modmat.donorrecipientfit:DonorAC_161",14.3232880242129
"modmat.donorrecipientfit:DonorAC_165",15.1115826815197
"modmat.donorrecipientfit:DonorAC_168",14.211855517804
"modmat.donorrecipientfit:DonorAC_169",14.0351528609011
"modmat.donorrecipientfit:DonorAC_170",15.5308641001482
"modmat.donorrecipientfit:DonorAC_172",14.984800332096
"modmat.donorrecipientfit:DonorAC_177",15.5358877947475
"modmat.donorrecipientfit:DonorAC_179",15.0063994697677
"modmat.donorrecipientfit:DonorAC_186",15.5189994809002
"modmat.donorrecipientfit:DonorAC_195",14.3624709347098
"modmat.donorrecipientfit:DonorAC_198",14.1309161354997
"modmat.donorrecipientfit:DonorAC_207",15.1431660887493
"modmat.donorrecipientfit:DonorAC_216",14.8107296898613
