"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorAC_002",5.86154279529331
"modmat.donorrecipientfit:DonorAC_007",6.84021931654866
"modmat.donorrecipientfit:DonorAC_008",5.7218146473259
"modmat.donorrecipientfit:DonorAC_015",6.13028074291381
"modmat.donorrecipientfit:DonorAC_039",5.19022786398488
"modmat.donorrecipientfit:DonorAC_045",6.18864732471737
"modmat.donorrecipientfit:DonorAC_047",5.17449880351626
"modmat.donorrecipientfit:DonorAC_052",5.04144664816803
"modmat.donorrecipientfit:DonorAC_054",5.0998106887735
"modmat.donorrecipientfit:DonorAC_061",5.20644939917943
"modmat.donorrecipientfit:DonorAC_064",5.65619913483443
"modmat.donorrecipientfit:DonorAC_068",7.5600143469403
"modmat.donorrecipientfit:DonorAC_071",6.10731790113476
"modmat.donorrecipientfit:DonorAC_089",5.85285714023872
"modmat.donorrecipientfit:DonorAC_091",5.77578861192858
"modmat.donorrecipientfit:DonorAC_094",6.84484628286772
"modmat.donorrecipientfit:DonorAC_096",5.51066837096277
"modmat.donorrecipientfit:DonorAC_097",6.77675640374145
"modmat.donorrecipientfit:DonorAC_102",6.3098346448031
"modmat.donorrecipientfit:DonorAC_103",6.95078121616964
"modmat.donorrecipientfit:DonorAC_107",5.70399518419134
"modmat.donorrecipientfit:DonorAC_124",5.62171264810961
"modmat.donorrecipientfit:DonorAC_125",6.046038160319
"modmat.donorrecipientfit:DonorAC_150",5.69571604146863
"modmat.donorrecipientfit:DonorAC_156",5.1096371629449
"modmat.donorrecipientfit:DonorAC_159",4.94240102073599
"modmat.donorrecipientfit:DonorAC_160",6.37074307279178
"modmat.donorrecipientfit:DonorAC_161",5.60931535765559
"modmat.donorrecipientfit:DonorAC_165",6.25837552762362
"modmat.donorrecipientfit:DonorAC_168",5.16896261552977
"modmat.donorrecipientfit:DonorAC_169",6.0527701817914
"modmat.donorrecipientfit:DonorAC_170",5.95483677281795
"modmat.donorrecipientfit:DonorAC_172",5.31725733932845
"modmat.donorrecipientfit:DonorAC_177",5.96779276303439
"modmat.donorrecipientfit:DonorAC_179",5.22419506678968
"modmat.donorrecipientfit:DonorAC_186",5.99131557957373
"modmat.donorrecipientfit:DonorAC_195",6.03354884252503
"modmat.donorrecipientfit:DonorAC_198",5.46899806171493
"modmat.donorrecipientfit:DonorAC_207",6.08622959175427
"modmat.donorrecipientfit:DonorAC_216",6.50771568827496
