"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
1,"AC_150","AC_200","2022-AC-200-G1-001-10",4,1,5,3,18
1,"AC_102","AC_191","2022-AC-191-G1-001-5",4,1,4,1,0
1,"AC_177","AC_107","2022-AC-107-G1-001-4",5,1,14,8,26
1,"AC_094","AC_109","2022-AC-109-G1-001-4",7,1,7,6,30
1,"AC_150","AC_110","2022-AC-110-G1-001-4",7,1,19,10,56
1,"AC_186","AC_048","2022-AC-048-G1-001-4",7,1,30,21,73
1,"AC_015","AC_190","2022-AC-190-G1-001-3",6,1,17,7,35
1,"AC_096","AC_074","2022-AC-074-G1-001-6",7,1,8,7,18
1,"AC_107","AC_130","2022-AC-130-G1-001-10",7,1,3,2,7
1,"AC_207","AC_070","2022-AC-070-G1-001-9",7,1,11,9,27
1,"AC_096","AC_181","2022-AC-181-G1-001-7",6,1,7,7,15
1,"AC_054","AC_046","2022-AC-046-G1-001-3",7,1,12,8,27
1,"AC_052","AC_131","2022-AC-131-G1-001-6",4,1,31,28,43
1,"AC_064","AC_086","2022-AC-086-G1-001-4",7,1,15,11,22
1,"AC_068","AC_056","2022-AC-056-G1-001-5",6,1,11,11,20
1,"AC_170","AC_203","2022-AC-203-G1-001-2",6,1,16,16,58
1,"AC_165","AC_062","2022-AC-062-G1-001-6",5,1,1,1,1
1,"AC_015","AC_097","2022-AC-097-G1-001-1",7,1,52,45,182
1,"AC_068","AC_089","2022-AC-089-G1-001-10",2,1,7,7,20
1,"AC_169","AC_120","2022-AC-120-G1-001-8",6,1,8,4,12
1,"AC_179","AC_136","2022-AC-136-G1-001-4",7,1,3,3,7
1,"AC_039","AC_168","2022-AC-168-G1-001-5",4,1,2,2,5
1,"AC_045","AC_151","2022-AC-151-G1-001-6",3,1,8,5,14
1,"AC_195","AC_193","2022-AC-193-G1-001-5",7,1,3,0,0
1,"AC_089","AC_057","2022-AC-057-G1-001-7",3,1,3,1,3
