"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorBB_001",1.17361833473676
"modmat.donorrecipientfit:DonorBB_005",1.52693869717748
"modmat.donorrecipientfit:DonorBB_011",1.22819243975388
"modmat.donorrecipientfit:DonorBB_014",1.27155021448149
"modmat.donorrecipientfit:DonorBB_015",1.27915865682234
"modmat.donorrecipientfit:DonorBB_023",1.36778639706581
"modmat.donorrecipientfit:DonorBB_026",2.08806072760223
"modmat.donorrecipientfit:DonorBB_028",1.75403324485007
"modmat.donorrecipientfit:DonorBB_038",1.77488899308681
"modmat.donorrecipientfit:DonorBB_047",1.35681886861694
"modmat.donorrecipientfit:DonorBB_051",1.68119784600166
"modmat.donorrecipientfit:DonorBB_055",1.57255745885552
"modmat.donorrecipientfit:DonorBB_057",1.90629139835211
"modmat.donorrecipientfit:DonorBB_065",1.53512684667822
"modmat.donorrecipientfit:DonorBB_066",1.84098318348564
"modmat.donorrecipientfit:DonorBB_073",1.18491562877355
"modmat.donorrecipientfit:DonorBB_075",1.21027445511565
"modmat.donorrecipientfit:DonorBB_091",1.11303981890009
"modmat.donorrecipientfit:DonorBB_099",1.00738708865789
"modmat.donorrecipientfit:DonorBB_100",1.25535740240565
"modmat.donorrecipientfit:DonorBB_107",1.71248458628377
"modmat.donorrecipientfit:DonorBB_108",1.49453390864875
"modmat.donorrecipientfit:DonorBB_115",1.22057989405116
"modmat.donorrecipientfit:DonorBB_122",1.28203010775354
"modmat.donorrecipientfit:DonorBB_125",2.15458247912581
"modmat.donorrecipientfit:DonorBB_130",1.32528119494669
"modmat.donorrecipientfit:DonorBB_141",1.24592227425475
"modmat.donorrecipientfit:DonorBB_142",2.95622952549447
"modmat.donorrecipientfit:DonorBB_144",1.22964969342999
"modmat.donorrecipientfit:DonorBB_162",1.14934911192933
"modmat.donorrecipientfit:DonorBB_167",1.10517180033371
"modmat.donorrecipientfit:DonorBB_168",1.54365731583791
"modmat.donorrecipientfit:DonorBB_169",1.79751364602817
"modmat.donorrecipientfit:DonorBB_171",1.64599353278507
"modmat.donorrecipientfit:DonorBB_173",1.07811036024762
"modmat.donorrecipientfit:DonorBB_174",1.06973568210529
"modmat.donorrecipientfit:DonorBB_175",1.74079585033457
"modmat.donorrecipientfit:DonorBB_176",1.19862486929566
"modmat.donorrecipientfit:DonorBB_177",1.52692635667161
"modmat.donorrecipientfit:DonorBB_182",2.67860107334123
"modmat.donorrecipientfit:DonorBB_188",1.44218788428866
"modmat.donorrecipientfit:DonorBB_194",1.33199296389711
"modmat.donorrecipientfit:DonorBB_196",2.49916427611529
"modmat.donorrecipientfit:DonorBB_197",1.95766729064714
"modmat.donorrecipientfit:DonorBB_198",1.65549632126658
"modmat.donorrecipientfit:DonorBB_202",1.82058997223241
"modmat.donorrecipientfit:DonorBB_213",1.77461065769674
"modmat.donorrecipientfit:DonorBB_215",1.469969942579
"modmat.donorrecipientfit:DonorBB_217",2.06740967628039
