"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorBB_001",26.7798347155581
"modmat.donorrecipientfit:DonorBB_005",11.2549157107138
"modmat.donorrecipientfit:DonorBB_011",14.6391438040175
"modmat.donorrecipientfit:DonorBB_014",19.5258147099683
"modmat.donorrecipientfit:DonorBB_015",12.8825258491965
"modmat.donorrecipientfit:DonorBB_023",11.050611388648
"modmat.donorrecipientfit:DonorBB_026",14.6132720677623
"modmat.donorrecipientfit:DonorBB_028",20.3450173223558
"modmat.donorrecipientfit:DonorBB_038",17.6038955813857
"modmat.donorrecipientfit:DonorBB_047",13.0095704847064
"modmat.donorrecipientfit:DonorBB_051",14.1927571493079
"modmat.donorrecipientfit:DonorBB_055",22.0310643749022
"modmat.donorrecipientfit:DonorBB_057",18.4391230891868
"modmat.donorrecipientfit:DonorBB_065",18.0246849641777
"modmat.donorrecipientfit:DonorBB_066",19.3081643408751
"modmat.donorrecipientfit:DonorBB_073",11.0942966903359
"modmat.donorrecipientfit:DonorBB_075",15.6999567688374
"modmat.donorrecipientfit:DonorBB_091",11.2119580951296
"modmat.donorrecipientfit:DonorBB_099",13.7934393809264
"modmat.donorrecipientfit:DonorBB_100",14.7737374710125
"modmat.donorrecipientfit:DonorBB_107",17.5756072226096
"modmat.donorrecipientfit:DonorBB_108",13.3317660609728
"modmat.donorrecipientfit:DonorBB_115",15.57667364845
"modmat.donorrecipientfit:DonorBB_122",12.7343651083275
"modmat.donorrecipientfit:DonorBB_125",16.012741441601
"modmat.donorrecipientfit:DonorBB_130",12.8501105970946
"modmat.donorrecipientfit:DonorBB_141",17.0106358191291
"modmat.donorrecipientfit:DonorBB_142",12.2315597782361
"modmat.donorrecipientfit:DonorBB_144",10.8993720974774
"modmat.donorrecipientfit:DonorBB_162",11.2603624641802
"modmat.donorrecipientfit:DonorBB_167",17.2435329056251
"modmat.donorrecipientfit:DonorBB_168",14.8433307618493
"modmat.donorrecipientfit:DonorBB_169",13.5973174852565
"modmat.donorrecipientfit:DonorBB_171",12.604739691608
"modmat.donorrecipientfit:DonorBB_173",16.6995544722064
"modmat.donorrecipientfit:DonorBB_174",15.0041631232881
"modmat.donorrecipientfit:DonorBB_175",17.232261454966
"modmat.donorrecipientfit:DonorBB_176",17.2266251952105
"modmat.donorrecipientfit:DonorBB_177",14.6975992258884
"modmat.donorrecipientfit:DonorBB_182",17.7720787143182
"modmat.donorrecipientfit:DonorBB_188",11.5307171962844
"modmat.donorrecipientfit:DonorBB_194",12.7778159423418
"modmat.donorrecipientfit:DonorBB_196",18.8239181612648
"modmat.donorrecipientfit:DonorBB_197",22.9375130638064
"modmat.donorrecipientfit:DonorBB_198",14.6624677405858
"modmat.donorrecipientfit:DonorBB_202",14.406694770295
"modmat.donorrecipientfit:DonorBB_213",19.2737972735965
"modmat.donorrecipientfit:DonorBB_215",14.6759858891549
"modmat.donorrecipientfit:DonorBB_217",15.3722128819403
