"Location","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
1,"BB_173","BB_170","2022-BB-170-G1-001-7",4,1,0,0,0
1,"BB_023","BB_206","2022-BB-206-G1-001-5",3,1,2,1,6
2,"BB_075","BB_085","2022-BB-085-G1-002-3",8,1,0,0,0
2,"BB_107","BB_179","2022-BB-179-G1-002-3",8,1,0,0,0
2,"BB_075","BB_079","2022-BB-079-G1-002-4",0,0,0,0,0
3,"BB_028","BB_109","2022-BB-109-G1-003-2",7,1,1,1,2
3,"BB_141","BB_003","2022-BB-003-G1-003-1",6,1,0,0,0
3,"BB_174","BB_010","2022-BB-010-G1-003-5",5,1,0,0,0
4,"BB_099","BB_161","2022-BB-161-G1-004-4",2,1,0,0,0
4,"BB_194","BB_214","2022-BB-214-G1-004-6",4,1,0,0,0
4,"BB_051","BB_143","2022-BB-143-G1-004-7",5,1,5,3,28
5,"BB_115","BB_020","2022-BB-020-G1-005-5",3,1,3,2,7
5,"BB_167","BB_114","2022-BB-114-G1-005-5",3,1,1,1,1
5,"BB_108","BB_069","2022-BB-069-G1-005-4",3,1,4,1,6
5,"BB_065","BB_013","2022-BB-013-G1-005-8",3,1,1,1,0
6,"BB_175","BB_104","2022-BB-104-G1-006-8",4,1,0,0,0
6,"BB_005","BB_195","2022-BB-195-G1-006-4",7,1,1,0,0
6,"BB_047","BB_193","2022-BB-193-G1-006-8",6,1,1,1,6
7,"BB_196","BB_186","2022-BB-186-G1-007-7",6,1,4,1,2
7,"BB_182","BB_201","2022-BB-201-G1-007-1",7,1,0,0,0
7,"BB_122","BB_027","2022-BB-027-G1-007-2",2,1,1,1,3
8,"BB_125","BB_137","2022-BB-137-G1-008-3",3,1,0,0,0
8,"BB_015","BB_218","2022-BB-218-G1-008-7",4,1,0,0,0
8,"BB_144","BB_207","2022-BB-207-G1-008-6",3,1,1,0,0
9,"BB_108","BB_189","2022-BB-189-G1-009-6",5,1,0,0,0
9,"BB_188","BB_009","2022-BB-009-G1-009-2",1,1,2,0,0
9,"BB_176","BB_017","2022-BB-017-G1-009-4",3,1,1,0,0
10,"BB_115","BB_187","2022-BB-187-G1-010-3",1,1,2,2,0
10,"BB_099","BB_032","2022-BB-032-G1-010-5",1,1,0,0,0
10,"BB_168","BB_058","2022-BB-058-G1-010-2",4,1,1,1,11
10,"BB_182","BB_021","2022-BB-021-G1-010-3",2,1,1,1,0
11,"BB_197","BB_060","2022-BB-060-G1-011-3",1,1,17,13,47
11,"BB_142","BB_093","2022-BB-093-G1-011-7",3,1,5,4,41
11,"BB_047","BB_071","2022-BB-071-G1-011-7",0,0,0,0,0
12,"BB_174","BB_068","2022-BB-068-G1-012-2",1,1,0,0,0
12,"BB_202","BB_018","2022-BB-018-G1-012-6",2,1,3,1,14
13,"BB_047","BB_131","2022-BB-131-G1-013-6",7,1,1,1,4
13,"BB_141","BB_029","2022-BB-029-G1-013-5",6,1,1,1,3
13,"BB_198","BB_045","2022-BB-045-G1-013-6",6,1,1,0,0
14,"BB_175","BB_172","2022-BB-172-G1-014-4",2,1,2,1,1
14,"BB_028","BB_083","2022-BB-083-G1-014-7",3,1,6,4,25
14,"BB_011","BB_116","2022-BB-116-G1-014-6",4,1,1,0,0
15,"BB_066","BB_019","2022-BB-019-G1-015-1",3,1,0,0,0
15,"BB_099","BB_061","2022-BB-061-G1-015-8",1,1,4,2,0
16,"BB_215","BB_210","2022-BB-210-G1-016-6",2,1,0,0,0
16,"BB_005","BB_166","2022-BB-166-G1-016-5",5,1,2,2,5
17,"BB_005","BB_034","2022-BB-034-G1-017-5",5,1,1,1,3
17,"BB_057","BB_146","2022-BB-146-G1-017-7",4,1,2,2,12
17,"BB_091","BB_098","2022-BB-098-G1-017-2",3,1,1,1,0
18,"BB_202","BB_101","2022-BB-101-G1-018-2",4,1,2,2,9
18,"BB_066","BB_052","2022-BB-052-G1-018-5",2,1,1,1,1
19,"BB_177","BB_134","2022-BB-134-G1-019-6",2,1,1,0,0
19,"BB_177","BB_117","2022-BB-117-G1-019-5",3,1,6,6,8
19,"BB_028","BB_209","2022-BB-209-G1-019-6",4,1,1,0,0
20,"BB_075","BB_164","2022-BB-164-G1-020-4",6,1,1,1,4
20,"BB_142","BB_150","2022-BB-150-G1-020-3",4,1,8,7,53
20,"BB_130","BB_048","2022-BB-048-G1-020-8",2,1,1,1,2
21,"BB_167","BB_110","2022-BB-110-G1-021-6",2,1,0,0,0
21,"BB_169","BB_160","2022-BB-160-G1-021-3",2,1,2,1,2
21,"BB_215","BB_004","2022-BB-004-G1-021-4",3,1,3,1,6
22,"BB_073","BB_084","2022-BB-084-G1-022-4",3,1,1,1,1
22,"BB_011","BB_215","2022-BB-215-G1-022-5",5,1,0,0,0
22,"BB_038","BB_149","2022-BB-149-G1-022-6",4,1,2,2,29
23,"BB_182","BB_103","2022-BB-103-G1-023-5",7,1,34,16,139
23,"BB_130","BB_007","2022-BB-007-G1-023-7",4,1,0,0,0
23,"BB_173","BB_044","2022-BB-044-G1-023-4",0,0,0,0,0
24,"BB_057","BB_200","2022-BB-200-G1-024-5",6,1,3,2,10
24,"BB_197","BB_199","2022-BB-199-G1-024-1",2,1,0,0,0
24,"BB_197","BB_211","2022-BB-211-G1-024-3",1,1,0,0,0
