"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorBO_001",1.54419601117683
"modmat.donorrecipientfit:DonorBO_005",1.67221779192731
"modmat.donorrecipientfit:DonorBO_013",1.75215252242307
"modmat.donorrecipientfit:DonorBO_022",1.70010719511792
"modmat.donorrecipientfit:DonorBO_029",1.67708871132487
"modmat.donorrecipientfit:DonorBO_032",2.12761671338949
"modmat.donorrecipientfit:DonorBO_033",1.76267202001059
"modmat.donorrecipientfit:DonorBO_038",1.72043268560666
"modmat.donorrecipientfit:DonorBO_039",1.88873843805635
"modmat.donorrecipientfit:DonorBO_040",1.56638545720942
"modmat.donorrecipientfit:DonorBO_058",2.32361897147397
"modmat.donorrecipientfit:DonorBO_065",1.88139123702588
"modmat.donorrecipientfit:DonorBO_069",1.74379054181627
"modmat.donorrecipientfit:DonorBO_070",1.56534128555124
"modmat.donorrecipientfit:DonorBO_073",1.67641823797444
"modmat.donorrecipientfit:DonorBO_074",1.78954139567277
"modmat.donorrecipientfit:DonorBO_088",1.80647789925998
"modmat.donorrecipientfit:DonorBO_096",1.78352587510874
"modmat.donorrecipientfit:DonorBO_101",2.06175452180817
"modmat.donorrecipientfit:DonorBO_106",1.99338100153601
"modmat.donorrecipientfit:DonorBO_109",1.60949967014949
"modmat.donorrecipientfit:DonorBO_119",2.07218602547231
"modmat.donorrecipientfit:DonorBO_128",1.54483663994767
"modmat.donorrecipientfit:DonorBO_130",1.52219604395009
"modmat.donorrecipientfit:DonorBO_143",1.72081537511428
"modmat.donorrecipientfit:DonorBO_149",1.5671633325985
"modmat.donorrecipientfit:DonorBO_151",1.76022818024691
"modmat.donorrecipientfit:DonorBO_153",1.69222142850917
"modmat.donorrecipientfit:DonorBO_162",1.80573608591231
"modmat.donorrecipientfit:DonorBO_163",1.85502448974046
"modmat.donorrecipientfit:DonorBO_168",1.84449314940735
"modmat.donorrecipientfit:DonorBO_170",1.72147036539742
"modmat.donorrecipientfit:DonorBO_173",1.76028275377039
"modmat.donorrecipientfit:DonorBO_177",1.52203970327968
"modmat.donorrecipientfit:DonorBO_183",1.45570302968441
"modmat.donorrecipientfit:DonorBO_185",1.78344217009064
"modmat.donorrecipientfit:DonorBO_187",1.61233708707544
"modmat.donorrecipientfit:DonorBO_188",1.8895387694905
"modmat.donorrecipientfit:DonorBO_189",1.8111241397216
"modmat.donorrecipientfit:DonorBO_192",2.53215231606921
"modmat.donorrecipientfit:DonorBO_194",2.13368406937274
"modmat.donorrecipientfit:DonorBO_198",1.52200215263314
"modmat.donorrecipientfit:DonorBO_199",2.02279575060177
"modmat.donorrecipientfit:DonorBO_201",1.78136294609955
