"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorBO_001",0.784014352550856
"modmat.donorrecipientfit:DonorBO_005",0.64982281431296
"modmat.donorrecipientfit:DonorBO_013",0.538430628985238
"modmat.donorrecipientfit:DonorBO_022",0.645833821475976
"modmat.donorrecipientfit:DonorBO_029",0.51773869320833
"modmat.donorrecipientfit:DonorBO_032",0.512257443010825
"modmat.donorrecipientfit:DonorBO_033",0.815464769085943
"modmat.donorrecipientfit:DonorBO_038",0.532659432147881
"modmat.donorrecipientfit:DonorBO_039",0.598467970526992
"modmat.donorrecipientfit:DonorBO_040",0.616183008343142
"modmat.donorrecipientfit:DonorBO_058",0.548216845585819
"modmat.donorrecipientfit:DonorBO_065",0.681231637770298
"modmat.donorrecipientfit:DonorBO_069",0.656634858278462
"modmat.donorrecipientfit:DonorBO_070",0.555109350138375
"modmat.donorrecipientfit:DonorBO_073",0.606987318049287
"modmat.donorrecipientfit:DonorBO_074",0.75347179344359
"modmat.donorrecipientfit:DonorBO_088",0.63909445491637
"modmat.donorrecipientfit:DonorBO_096",0.492024199315606
"modmat.donorrecipientfit:DonorBO_101",0.554188659070793
"modmat.donorrecipientfit:DonorBO_106",0.50996519550979
"modmat.donorrecipientfit:DonorBO_109",0.607775414460902
"modmat.donorrecipientfit:DonorBO_119",0.520217630932343
"modmat.donorrecipientfit:DonorBO_128",0.664516395266608
"modmat.donorrecipientfit:DonorBO_130",0.698289764091412
"modmat.donorrecipientfit:DonorBO_143",0.591598221778547
"modmat.donorrecipientfit:DonorBO_149",0.661065639150927
"modmat.donorrecipientfit:DonorBO_151",0.537720850591005
"modmat.donorrecipientfit:DonorBO_153",0.55612482772279
"modmat.donorrecipientfit:DonorBO_162",0.688379364739422
"modmat.donorrecipientfit:DonorBO_163",0.761128977681509
"modmat.donorrecipientfit:DonorBO_168",0.67062411930179
"modmat.donorrecipientfit:DonorBO_170",0.652199203223684
"modmat.donorrecipientfit:DonorBO_173",0.511446503427359
"modmat.donorrecipientfit:DonorBO_177",0.981977438084064
"modmat.donorrecipientfit:DonorBO_183",0.861481515409834
"modmat.donorrecipientfit:DonorBO_185",0.56729638714662
"modmat.donorrecipientfit:DonorBO_187",0.775937641539479
"modmat.donorrecipientfit:DonorBO_188",0.731921518610326
"modmat.donorrecipientfit:DonorBO_189",0.602520014927085
"modmat.donorrecipientfit:DonorBO_192",0.550790296919105
"modmat.donorrecipientfit:DonorBO_194",0.518164444660556
"modmat.donorrecipientfit:DonorBO_198",0.551705969330973
"modmat.donorrecipientfit:DonorBO_199",0.705798114879365
"modmat.donorrecipientfit:DonorBO_201",0.780961772012617
