"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
1,"BO_201","BO_130","2022-BO-130-G1-001-7",1,1,37,15,12
1,"BO_192","BO_166","2022-BO-166-G1-001-6",2,1,1,1,0
1,"BO_005","BO_019","2022-BO-019-G1-001-7",1,1,0,0,0
1,"BO_070","BO_066","2022-BO-066-G1-001-7",1,1,1,1,0
1,"BO_038","BO_137","2022-BO-137-G1-001-5",2,1,0,0,0
1,"BO_170","BO_045","2022-BO-045-G1-001-5",1,1,0,0,0
1,"BO_001","BO_048","2022-BO-048-G1-001-3",2,1,6,6,0
1,"BO_069","BO_043","2022-BO-043-G1-001-5",0,0,0,0,0
1,"BO_033","BO_099","2022-BO-099-G1-001-2",1,1,12,5,8
1,"BO_065","BO_115","2022-BO-115-G1-001-5",2,1,0,0,0
1,"BO_106","BO_104","2022-BO-104-G1-001-4",0,0,0,0,0
1,"BO_040","BO_029","2022-BO-029-G1-001-1",1,1,3,2,3
1,"BO_096","BO_012","2022-BO-012-G1-001-1",2,1,0,0,0
1,"BO_013","BO_114","2022-BO-114-G1-001-1",0,0,0,0,0
1,"BO_163","BO_034","2022-BO-034-G1-001-7",0,0,0,0,0
1,"BO_074","BO_047","2022-BO-047-G1-001-6",3,1,0,0,0
1,"BO_188","BO_008","2022-BO-008-G1-001-2",1,1,0,0,0
1,"BO_106","BO_191","2022-BO-191-G1-001-6",4,1,0,0,0
1,"BO_073","BO_117","2022-BO-117-G1-001-7",2,1,0,0,0
1,"BO_130","BO_120","2022-BO-120-G1-001-2",1,1,0,0,0
1,"BO_192","BO_021","2022-BO-021-G1-001-1",3,1,3,3,6
1,"BO_101","BO_024","2022-BO-024-G1-001-3",1,1,3,3,0
1,"BO_143","BO_004","2022-BO-004-G1-001-6",2,1,1,0,0
1,"BO_128","BO_060","2022-BO-060-G1-001-4",2,1,4,2,3
1,"BO_005","BO_176","2022-BO-176-G1-001-5",4,1,0,0,0
1,"BO_149","BO_185","2022-BO-185-G1-001-1",1,1,0,0,0
1,"BO_096","BO_178","2022-BO-178-G1-001-3",5,1,2,2,2
1,"BO_194","BO_098","2022-BO-098-G1-001-7",1,1,1,1,2
1,"BO_177","BO_139","2022-BO-139-G1-001-7",2,1,0,0,0
1,"BO_101","BO_182","2022-BO-182-G1-001-4",2,1,4,4,8
1,"BO_168","BO_175","2022-BO-175-G1-001-2",1,1,0,0,0
1,"BO_074","BO_118","2022-BO-118-G1-001-3",4,1,0,0,0
1,"BO_038","BO_149","2022-BO-149-G1-001-4",2,1,2,2,0
1,"BO_177","BO_121","2022-BO-121-G1-001-6",3,1,0,0,0
1,"BO_013","BO_141","2022-BO-141-G1-001-2",2,1,7,7,14
1,"BO_153","BO_022","2022-BO-022-G1-001-2",0,0,0,0,0
1,"BO_192","BO_127","2022-BO-127-G1-001-8",1,1,38,14,46
1,"BO_101","BO_080","2022-BO-080-G1-001-1",4,1,4,4,2
1,"BO_173","BO_079","2022-BO-079-G1-001-5",0,0,0,0,0
1,"BO_038","BO_082","2022-BO-082-G1-001-1",2,1,0,0,0
1,"BO_128","BO_105","2022-BO-105-G1-001-5",0,0,0,0,0
1,"BO_058","BO_094","2022-BO-094-G1-001-4",1,1,6,5,33
1,"BO_185","BO_153","2022-BO-153-G1-001-2",0,0,0,0,0
