"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorHR_002",14.07349915816
"modmat.donorrecipientfit:DonorHR_005",13.6824303524169
"modmat.donorrecipientfit:DonorHR_006",13.5217690387481
"modmat.donorrecipientfit:DonorHR_008",13.3602882166441
"modmat.donorrecipientfit:DonorHR_027",14.3341830490525
"modmat.donorrecipientfit:DonorHR_034",14.119330831411
"modmat.donorrecipientfit:DonorHR_053",14.2388050910568
"modmat.donorrecipientfit:DonorHR_057",13.5442117360206
"modmat.donorrecipientfit:DonorHR_059",14.2155498574274
"modmat.donorrecipientfit:DonorHR_062",13.2318036631161
"modmat.donorrecipientfit:DonorHR_064",14.8794547667044
"modmat.donorrecipientfit:DonorHR_066",14.3356130045128
"modmat.donorrecipientfit:DonorHR_069",13.8494946642053
"modmat.donorrecipientfit:DonorHR_070",13.9353332491231
"modmat.donorrecipientfit:DonorHR_074",14.1579992539913
"modmat.donorrecipientfit:DonorHR_085",13.7051634973625
"modmat.donorrecipientfit:DonorHR_088",13.3799771978869
"modmat.donorrecipientfit:DonorHR_090",14.1522364871624
"modmat.donorrecipientfit:DonorHR_095",13.7391246704769
"modmat.donorrecipientfit:DonorHR_100",13.6905315601962
"modmat.donorrecipientfit:DonorHR_108",14.3156630356652
"modmat.donorrecipientfit:DonorHR_110",14.0226476127863
"modmat.donorrecipientfit:DonorHR_115",13.4112284034381
"modmat.donorrecipientfit:DonorHR_121",14.6434203674077
"modmat.donorrecipientfit:DonorHR_125",13.7150022502347
"modmat.donorrecipientfit:DonorHR_131",13.6992369591788
"modmat.donorrecipientfit:DonorHR_133",14.3062410898581
"modmat.donorrecipientfit:DonorHR_135",13.2892870493411
"modmat.donorrecipientfit:DonorHR_139",13.9824819277779
"modmat.donorrecipientfit:DonorHR_141",13.840279513744
"modmat.donorrecipientfit:DonorHR_147",13.5376252028822
"modmat.donorrecipientfit:DonorHR_148",14.0915346091975
"modmat.donorrecipientfit:DonorHR_149",13.9935984984273
"modmat.donorrecipientfit:DonorHR_155",13.8209909967359
"modmat.donorrecipientfit:DonorHR_156",14.310848625826
"modmat.donorrecipientfit:DonorHR_157",14.2741474365402
"modmat.donorrecipientfit:DonorHR_160",13.3026040764006
"modmat.donorrecipientfit:DonorHR_164",14.6649786453226
"modmat.donorrecipientfit:DonorHR_168",14.259252852055
"modmat.donorrecipientfit:DonorHR_171",13.9944577699338
"modmat.donorrecipientfit:DonorHR_175",14.4777665585195
"modmat.donorrecipientfit:DonorHR_180",14.7273415834901
"modmat.donorrecipientfit:DonorHR_189",13.4236285831521
"modmat.donorrecipientfit:DonorHR_195",13.4875055294785
"modmat.donorrecipientfit:DonorHR_196",14.0701654211081
"modmat.donorrecipientfit:DonorHR_200",13.2614678625195
