"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorHR_002",5.88583731451713
"modmat.donorrecipientfit:DonorHR_005",5.23452833039054
"modmat.donorrecipientfit:DonorHR_006",5.23575210932445
"modmat.donorrecipientfit:DonorHR_008",5.21584872287626
"modmat.donorrecipientfit:DonorHR_027",5.95680956635775
"modmat.donorrecipientfit:DonorHR_034",5.35100232969348
"modmat.donorrecipientfit:DonorHR_053",6.19823346439695
"modmat.donorrecipientfit:DonorHR_057",5.99500295160145
"modmat.donorrecipientfit:DonorHR_059",6.87904287045626
"modmat.donorrecipientfit:DonorHR_062",5.99681732997116
"modmat.donorrecipientfit:DonorHR_064",6.77573477278786
"modmat.donorrecipientfit:DonorHR_066",6.33532930399591
"modmat.donorrecipientfit:DonorHR_069",5.95351148279731
"modmat.donorrecipientfit:DonorHR_070",5.57001443213943
"modmat.donorrecipientfit:DonorHR_074",5.26998594606406
"modmat.donorrecipientfit:DonorHR_085",6.2417852661928
"modmat.donorrecipientfit:DonorHR_088",5.47131070916909
"modmat.donorrecipientfit:DonorHR_090",6.15844292478371
"modmat.donorrecipientfit:DonorHR_095",5.22371602701179
"modmat.donorrecipientfit:DonorHR_100",4.93775476538725
"modmat.donorrecipientfit:DonorHR_108",5.59041861301718
"modmat.donorrecipientfit:DonorHR_110",7.02839577484866
"modmat.donorrecipientfit:DonorHR_115",4.98908732170941
"modmat.donorrecipientfit:DonorHR_121",5.28037681599837
"modmat.donorrecipientfit:DonorHR_125",5.01233534217846
"modmat.donorrecipientfit:DonorHR_131",6.07115853025935
"modmat.donorrecipientfit:DonorHR_133",4.89091898151344
"modmat.donorrecipientfit:DonorHR_135",6.85449008652328
"modmat.donorrecipientfit:DonorHR_139",5.27063284104661
"modmat.donorrecipientfit:DonorHR_141",5.22165043327085
"modmat.donorrecipientfit:DonorHR_147",5.02887810351422
"modmat.donorrecipientfit:DonorHR_148",5.7400754927749
"modmat.donorrecipientfit:DonorHR_149",6.09943470569024
"modmat.donorrecipientfit:DonorHR_155",6.39229086487668
"modmat.donorrecipientfit:DonorHR_156",5.14492688313487
"modmat.donorrecipientfit:DonorHR_157",7.18553831009098
"modmat.donorrecipientfit:DonorHR_160",5.27596390075803
"modmat.donorrecipientfit:DonorHR_164",4.91511847363101
"modmat.donorrecipientfit:DonorHR_168",5.65301065468873
"modmat.donorrecipientfit:DonorHR_171",7.57688834480831
"modmat.donorrecipientfit:DonorHR_175",6.57075627816487
"modmat.donorrecipientfit:DonorHR_180",6.20969629792191
"modmat.donorrecipientfit:DonorHR_189",6.44023922746626
"modmat.donorrecipientfit:DonorHR_195",4.79730123383587
"modmat.donorrecipientfit:DonorHR_196",6.61866782219993
"modmat.donorrecipientfit:DonorHR_200",6.09304959413863
