"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
1,"HR_008","HR_058","2022-HR-058-G1-001-2",8,1,29,28,11
1,"HR_196","HR_183","2022-HR-183-G1-001-2",7,1,16,16,11
1,"HR_085","HR_176","2022-HR-176-G1-001-7",8,1,11,8,5
1,"HR_006","HR_146","2022-HR-146-G1-001-8",8,1,0,0,0
1,"HR_108","HR_177","2022-HR-177-G1-001-3",7,1,14,14,37
1,"HR_074","HR_115","2022-HR-115-G1-001-6",7,1,13,12,24
1,"HR_180","HR_036","2022-HR-036-G1-001-4",6,1,9,8,8
1,"HR_160","HR_033","2022-HR-033-G1-001-5",6,1,24,18,21
1,"HR_070","HR_061","2022-HR-061-G1-001-2",7,1,25,19,22
1,"HR_133","HR_158","2022-HR-158-G1-001-4",8,1,33,27,69
1,"HR_108","HR_175","2022-HR-175-G1-001-6",8,1,13,9,14
1,"HR_164","HR_005","2022-HR-005-G1-001-4",7,1,29,25,42
1,"HR_171","HR_057","2022-HR-057-G1-001-4",7,1,5,2,2
1,"HR_196","HR_170","2022-HR-170-G1-001-5",5,1,27,25,53
1,"HR_148","HR_114","2022-HR-114-G1-001-7",8,1,8,8,5
1,"HR_069","HR_108","2022-HR-108-G1-001-1",4,1,13,13,21
1,"HR_175","HR_196","2022-HR-196-G1-001-5",4,1,28,28,62
1,"HR_131","HR_046","2022-HR-046-G1-001-6",4,1,17,16,6
1,"HR_095","HR_020","2022-HR-020-G1-001-8",5,1,4,4,7
1,"HR_108","HR_016","2022-HR-016-G1-001-4",3,1,7,7,0
1,"HR_200","HR_010","2022-HR-010-G1-001-5",1,1,9,6,1
1,"HR_164","HR_041","2022-HR-041-G1-001-3",1,1,2,2,8
1,"HR_168","HR_148","2022-HR-148-G1-001-5",2,1,6,5,2
1,"HR_121","HR_105","2022-HR-105-G1-001-7",1,1,4,3,13
1,"HR_062","HR_134","2022-HR-134-G1-001-4",1,1,7,7,2
1,"HR_135","HR_083","2022-HR-083-G1-001-4",0,0,0,0,0
1,"HR_156","HR_025","2022-HR-025-G1-001-2",0,0,0,0,0
1,"HR_005","HR_040","2022-HR-040-G1-001-5",5,1,6,5,2
1,"HR_149","HR_007","2022-HR-007-G1-001-6",6,1,9,7,8
1,"HR_131","HR_113","2022-HR-113-G1-001-5",2,1,27,27,6
1,"HR_157","HR_095","2022-HR-095-G1-001-8",7,1,8,8,6
1,"HR_131","HR_049","2022-HR-049-G1-001-3",8,1,11,11,4
1,"HR_062","HR_136","2022-HR-136-G1-001-3",8,1,13,13,3
1,"HR_110","HR_032","2022-HR-032-G1-001-4",7,1,11,9,6
1,"HR_057","HR_110","2022-HR-110-G1-001-6",8,1,9,7,8
1,"HR_059","HR_011","2022-HR-011-G1-001-8",7,1,11,11,16
1,"HR_095","HR_178","2022-HR-178-G1-001-6",8,1,17,10,10
1,"HR_155","HR_047","2022-HR-047-G1-001-2",8,1,9,9,8
1,"HR_070","HR_123","2022-HR-123-G1-001-5",6,1,10,8,4
1,"HR_053","HR_092","2022-HR-092-G1-001-1",4,1,9,9,1
1,"HR_110","HR_039","2022-HR-039-G1-001-1",8,1,5,5,7
1,"HR_160","HR_173","2022-HR-173-G1-001-5",7,1,1,1,0
1,"HR_189","HR_018","2022-HR-018-G1-001-8",8,1,0,0,0
1,"HR_115","HR_026","2022-HR-026-G1-001-4",8,1,3,3,1
1,"HR_110","HR_037","2022-HR-037-G1-001-5",8,1,8,8,11
1,"HR_006","HR_162","2022-HR-162-G1-001-2",6,1,10,10,0
2,"HR_100","HR_195","2022-HR-195-G1-002-3",8,1,8,7,11
2,"HR_088","HR_014","2022-HR-014-G1-002-6",6,1,0,0,0
2,"HR_148","HR_050","2022-HR-050-G1-002-1",8,1,12,11,14
2,"HR_175","HR_027","2022-HR-027-G1-002-8",7,1,0,0,0
2,"HR_157","HR_085","2022-HR-085-G1-002-4",8,1,35,30,42
2,"HR_141","HR_015","2022-HR-015-G1-002-6",7,1,12,5,5
2,"HR_034","HR_112","2022-HR-112-G1-002-3",6,1,35,31,67
2,"HR_005","HR_149","2022-HR-149-G1-002-1",8,1,29,29,5
2,"HR_027","HR_119","2022-HR-119-G1-002-5",7,1,15,14,29
2,"HR_085","HR_107","2022-HR-107-G1-002-6",7,1,18,18,14
2,"HR_133","HR_072","2022-HR-072-G1-002-7",8,1,19,19,20
2,"HR_133","HR_161","2022-HR-161-G1-002-8",8,1,23,21,63
2,"HR_085","HR_035","2022-HR-035-G1-002-6",7,1,6,6,4
2,"HR_090","HR_126","2022-HR-126-G1-002-7",3,1,21,21,36
2,"HR_053","HR_169","2022-HR-169-G1-002-5",7,1,49,44,70
2,"HR_125","HR_034","2022-HR-034-G1-002-5",7,1,28,22,36
2,"HR_164","HR_201","2022-HR-201-G1-002-6",7,1,16,13,21
2,"HR_034","HR_080","2022-HR-080-G1-002-1",4,1,11,11,11
2,"HR_155","HR_121","2022-HR-121-G1-002-1",4,1,8,8,7
2,"HR_168","HR_101","2022-HR-101-G1-002-3",4,1,9,7,13
2,"HR_053","HR_038","2022-HR-038-G1-002-8",5,1,17,12,8
2,"HR_005","HR_180","2022-HR-180-G1-002-6",3,1,5,5,8
2,"HR_139","HR_129","2022-HR-129-G1-002-1",4,1,5,5,4
2,"HR_157","HR_088","2022-HR-088-G1-002-8",4,1,2,1,2
2,"HR_006","HR_142","2022-HR-142-G1-002-4",4,1,3,3,0
2,"HR_200","HR_153","2022-HR-153-G1-002-4",6,1,2,2,2
2,"HR_125","HR_086","2022-HR-086-G1-002-1",7,1,4,2,2
2,"HR_171","HR_073","2022-HR-073-G1-002-3",7,1,3,3,0
2,"HR_057","HR_006","2022-HR-006-G1-002-6",6,1,8,7,7
2,"HR_139","HR_062","2022-HR-062-G1-002-5",7,1,5,3,0
2,"HR_196","HR_054","2022-HR-054-G1-002-1",8,1,12,12,6
2,"HR_180","HR_023","2022-HR-023-G1-002-2",7,1,3,3,7
2,"HR_195","HR_104","2022-HR-104-G1-002-4",8,1,7,7,7
2,"HR_027","HR_145","2022-HR-145-G1-002-3",6,1,1,1,0
2,"HR_008","HR_012","2022-HR-012-G1-002-7",8,1,7,7,6
2,"HR_070","HR_165","2022-HR-165-G1-002-8",8,1,12,12,11
2,"HR_168","HR_064","2022-HR-064-G1-002-8",8,1,7,7,21
2,"HR_066","HR_137","2022-HR-137-G1-002-8",4,1,39,33,72
2,"HR_027","HR_043","2022-HR-043-G1-002-4",7,1,3,3,7
2,"HR_189","HR_051","2022-HR-051-G1-002-3",8,1,5,5,0
2,"HR_069","HR_133","2022-HR-133-G1-002-6",7,1,6,6,11
